2017/11/26_16:01:33: Peer 1001 has the preferred neighbors [0, 0]
2017/11/26_16:01:38: Peer 1002 has the preferred neighbors [0, 0]
2017/11/26_16:01:41: Peer 1002 has the preferred neighbors [0, 0]
2017/11/26_16:01:43: Peer 1002 has the preferred neighbors [0, 0]
2017/11/26_16:01:46: Peer 1003 has the preferred neighbors [0, 0]
2017/11/26_16:01:48: Peer 1003 has the preferred neighbors [0, 0]
2017/11/26_16:01:49: Peer 1003 has the preferred neighbors [0, 0]
2017/11/26_16:01:51: Peer 1003 has the preferred neighbors [0, 0]
2017/11/26_16:01:53: Peer 1004 has the preferred neighbors [0, 0]
2017/11/26_16:01:54: Peer 1004 has the preferred neighbors [0, 0]
2017/11/26_16:01:54: Peer 1004 has the preferred neighbors [0, 0]
